,Open,High,Low,Close,Adjusted Close,Volume,Dividend,Split Coefficient
2019-10-17,235.0900,236.1500,233.5200,235.28,235.2800,16897232,0.0000,1.0000
2019-10-16,233.3700,235.2326,233.2000,234.37,234.3700,17612833,0.0000,1.0000
2019-10-15,236.3900,237.6500,234.8800,235.32,235.3200,21840000,0.0000,1.0000
2019-10-14,234.9000,238.1300,234.6700,235.87,235.8700,24106900,0.0000,1.0000
2019-10-11,232.9500,237.6400,232.3100,236.21,236.2100,41698900,0.0000,1.0000
2019-10-10,227.9300,230.4400,227.3000,230.09,230.0900,28253400,0.0000,1.0000
2019-10-09,227.0300,227.7900,225.6400,227.03,227.0300,18692600,0.0000,1.0000
2019-10-08,225.8200,228.0600,224.3300,224.4,224.4000,27955000,0.0000,1.0000
2019-10-07,226.2700,229.9300,225.8400,227.06,227.0600,30576500,0.0000,1.0000
2019-10-04,225.6400,227.4900,223.8900,227.01,227.0100,34619700,0.0000,1.0000
2019-10-03,218.4300,220.9600,215.1300,220.82,220.8200,28606500,0.0000,1.0000
2019-10-02,223.0600,223.5800,217.9300,218.96,218.9600,34612300,0.0000,1.0000
2019-10-01,225.0700,228.2200,224.2000,224.59,224.5900,34805800,0.0000,1.0000
2019-09-30,220.9000,224.5800,220.7900,223.97,223.9700,25977400,0.0000,1.0000
2019-09-27,220.5400,220.9600,217.2800,218.82,218.8200,25352000,0.0000,1.0000
2019-09-26,220.0000,220.9400,218.8300,219.89,219.8900,18833500,0.0000,1.0000
2019-09-25,218.5500,221.5000,217.1400,221.03,221.0300,21903400,0.0000,1.0000
2019-09-24,221.0300,222.4900,217.1900,217.68,217.6800,31190800,0.0000,1.0000
2019-09-23,218.9500,219.8400,217.6500,218.72,218.7200,19165500,0.0000,1.0000
2019-09-20,221.3800,222.5600,217.4700,217.73,217.7300,55413100,0.0000,1.0000
2019-09-19,222.0100,223.7600,220.3700,220.96,220.9600,22060600,0.0000,1.0000
2019-09-18,221.0600,222.8500,219.4400,222.77,222.7700,25340000,0.0000,1.0000
2019-09-17,219.9600,220.8200,219.1200,220.7,220.7000,18318700,0.0000,1.0000
2019-09-16,217.7300,220.1300,217.5600,219.9,219.9000,21158100,0.0000,1.0000
2019-09-13,220.0000,220.7900,217.0200,218.75,218.7500,39763300,0.0000,1.0000
2019-09-12,224.8000,226.4200,222.8600,223.09,223.0900,32226700,0.0000,1.0000
2019-09-11,218.0700,223.7100,217.7300,223.59,223.5900,44289600,0.0000,1.0000
2019-09-10,213.8600,216.7800,211.7100,216.7,216.7000,31777900,0.0000,1.0000
2019-09-09,214.8400,216.4400,211.0700,214.17,214.1700,27309400,0.0000,1.0000
2019-09-06,214.0500,214.4200,212.5100,213.26,213.2600,19362300,0.0000,1.0000
2019-09-05,212.0000,213.9700,211.5100,213.28,213.2800,23913700,0.0000,1.0000
2019-09-04,208.3900,209.4800,207.3200,209.19,209.1900,19188100,0.0000,1.0000
2019-09-03,206.4300,206.9800,204.2200,205.7,205.7000,20023000,0.0000,1.0000
2019-08-30,210.1600,210.4500,207.2000,208.74,208.7400,21143400,0.0000,1.0000
2019-08-29,208.5000,209.3200,206.6600,209.01,209.0100,20990500,0.0000,1.0000
2019-08-28,204.1000,205.7200,203.3200,205.53,205.5300,15938800,0.0000,1.0000
2019-08-27,207.8600,208.5500,203.5300,204.16,204.1600,25873300,0.0000,1.0000
2019-08-26,205.8600,207.1900,205.0600,206.49,206.4900,26043600,0.0000,1.0000
2019-08-23,209.4300,212.0500,201.0000,202.64,202.6400,46818000,0.0000,1.0000
2019-08-22,213.1900,214.4400,210.7500,212.46,212.4600,22253700,0.0000,1.0000
2019-08-21,212.9900,213.6500,211.6000,212.64,212.6400,21535400,0.0000,1.0000
2019-08-20,210.8800,213.3500,210.3200,210.36,210.3600,26884300,0.0000,1.0000
2019-08-19,210.6200,212.7300,210.0300,210.35,210.3500,24413600,0.0000,1.0000
2019-08-16,204.2800,207.1600,203.8400,206.5,206.5000,27620400,0.0000,1.0000
2019-08-15,203.4600,205.1400,199.6700,201.74,201.7400,27227400,0.0000,1.0000
2019-08-14,203.1600,206.4400,202.5900,202.75,202.7500,36547400,0.0000,1.0000
2019-08-13,201.0200,212.1400,200.8300,208.97,208.9700,47218500,0.0000,1.0000
2019-08-12,199.6200,202.0520,199.1500,200.48,200.4800,22481900,0.0000,1.0000
2019-08-09,201.3000,202.7600,199.2900,200.99,200.9900,24619700,0.7700,1.0000
2019-08-08,200.2000,203.5300,199.3900,203.43,202.6600,27009500,0.0000,1.0000
2019-08-07,195.4100,199.5600,193.8200,199.04,198.2866,33364400,0.0000,1.0000
2019-08-06,196.3100,198.0700,194.0400,197.0,196.2543,35824800,0.0000,1.0000
2019-08-05,197.9900,198.6500,192.5800,193.34,192.6082,52393000,0.0000,1.0000
2019-08-02,205.5300,206.4300,201.6247,204.02,203.2478,40862100,0.0000,1.0000
2019-08-01,213.9000,218.0300,206.7400,208.43,207.6411,54017900,0.0000,1.0000
2019-07-31,216.4200,221.3700,211.3000,213.04,212.2336,69281400,0.0000,1.0000
2019-07-30,208.7600,210.1600,207.3100,208.78,207.9897,33935700,0.0000,1.0000
2019-07-29,208.4600,210.6400,208.4400,209.68,208.8863,21673400,0.0000,1.0000
2019-07-26,207.4800,209.7300,207.1400,207.74,206.9537,17618900,0.0000,1.0000
2019-07-25,208.8900,209.2400,206.7300,207.02,206.2364,13909600,0.0000,1.0000
2019-07-24,207.6700,209.1500,207.1700,208.67,207.8802,14991600,0.0000,1.0000
2019-07-23,208.4600,208.9100,207.2900,208.84,208.0495,18355200,0.0000,1.0000
2019-07-22,203.6500,207.2300,203.6100,207.22,206.4357,22277900,0.0000,1.0000
2019-07-19,205.7900,206.5000,202.3600,202.59,201.8232,20929300,0.0000,1.0000
2019-07-18,204.0000,205.8800,203.7000,205.66,204.8816,18540600,0.0000,1.0000
2019-07-17,204.0500,205.0900,203.2700,203.35,202.5803,14107500,0.0000,1.0000
2019-07-16,204.5900,206.1100,203.5000,204.5,203.7260,16866800,0.0000,1.0000
2019-07-15,204.0900,205.8700,204.0000,205.21,204.4333,16947400,0.0000,1.0000
2019-07-12,202.4500,203.9983,202.2000,203.3,202.5305,17595200,0.0000,1.0000
2019-07-11,203.3137,204.3900,201.7100,201.75,200.9864,20191800,0.0000,1.0000
2019-07-10,201.8500,203.7300,201.5679,203.23,202.4608,17897100,0.0000,1.0000
2019-07-09,199.2000,201.5100,198.8100,201.24,200.4783,20578000,0.0000,1.0000
2019-07-08,200.8100,201.4000,198.4100,200.02,199.2629,25338600,0.0000,1.0000
2019-07-05,203.3500,205.0800,202.8856,204.23,203.4570,17265500,0.0000,1.0000
2019-07-03,203.2800,204.4400,202.6900,204.41,203.6363,11362000,0.0000,1.0000
2019-07-02,201.4100,203.1320,201.3600,202.73,201.9626,16935200,0.0000,1.0000
2019-07-01,203.1700,204.4900,200.6500,201.55,200.7871,27253000,0.0000,1.0000
2019-06-28,198.6800,199.4950,197.0500,197.92,197.1709,31110600,0.0000,1.0000
2019-06-27,200.2900,201.5700,199.5700,199.74,198.9840,20899700,0.0000,1.0000
2019-06-26,197.7700,200.9900,197.3494,199.8,199.0437,26067500,0.0000,1.0000
2019-06-25,198.4300,199.2600,195.2900,195.57,194.8298,21070300,0.0000,1.0000
2019-06-24,198.5400,200.1600,198.1700,198.58,197.8284,18220400,0.0000,1.0000
2019-06-21,198.8000,200.8500,198.1500,198.78,198.0276,47800600,0.0000,1.0000
2019-06-20,200.3543,200.6100,198.0300,199.46,198.7050,21514000,0.0000,1.0000
2019-06-19,199.6800,199.8800,197.3057,197.87,197.1210,21124200,0.0000,1.0000
2019-06-18,196.0500,200.2900,195.2100,198.45,197.6989,26551000,0.0000,1.0000
2019-06-17,192.9000,194.9553,192.1700,193.89,193.1561,14669100,0.0000,1.0000
2019-06-14,191.5384,193.5860,190.3000,192.74,192.0105,18761500,0.0000,1.0000
2019-06-13,194.7000,196.7900,193.6000,194.15,193.4151,21674600,0.0000,1.0000
2019-06-12,193.9491,195.9700,193.3850,194.19,193.4550,18253200,0.0000,1.0000
2019-06-11,194.8600,196.0000,193.6000,194.81,194.0726,26932900,0.0000,1.0000
2019-06-10,191.8100,195.3700,191.6200,192.58,191.8511,26220900,0.0000,1.0000
2019-06-07,186.5100,191.9200,185.7700,190.15,189.4303,30684400,0.0000,1.0000
2019-06-06,183.0800,185.4700,182.1490,185.22,184.5189,22526300,0.0000,1.0000
2019-06-05,184.2800,184.9900,181.1400,182.54,181.8491,29773400,0.0000,1.0000
2019-06-04,175.4400,179.8300,174.5200,179.64,178.9601,30968000,0.0000,1.0000
2019-06-03,175.6000,177.9200,170.2700,173.3,172.6440,40396100,0.0000,1.0000
2019-05-31,176.2386,177.9900,174.9900,175.07,174.4073,27043600,0.0000,1.0000
2019-05-30,177.9500,179.2300,176.6700,178.3,177.6251,21218400,0.0000,1.0000
2019-05-29,176.4200,179.3500,176.0000,177.38,176.7086,28481200,0.0000,1.0000
2019-05-28,178.9200,180.5823,177.9100,178.23,177.5554,27948200,0.0000,1.0000
2019-05-24,180.1912,182.1400,178.6200,178.97,178.2926,23714700,0.0000,1.0000
2019-05-23,179.8000,180.5400,177.8100,179.66,178.9800,36529700,0.0000,1.0000
