,Open,High,Low,Close,Adjusted Close,Volume,Dividend,Split Coefficient
2019-10-16,56.3600,56.5900,56.1600,56.27,56.2700,764567,0.0000,1.0000
2019-10-15,56.0000,56.6600,55.8700,56.33,56.3300,1085426,0.0000,1.0000
2019-10-14,55.8200,56.0400,55.6600,56.0,56.0000,534600,0.0000,1.0000
2019-10-11,55.5500,56.1800,55.4400,55.88,55.8800,1211100,0.0000,1.0000
2019-10-10,54.8000,55.2000,54.6700,54.94,54.9400,1125900,0.0000,1.0000
2019-10-09,54.5800,54.8600,54.2600,54.66,54.6600,1178100,0.5550,1.0000
2019-10-08,55.1300,55.3000,54.8400,54.87,54.3150,1390000,0.0000,1.0000
2019-10-07,55.4400,55.6800,55.2500,55.33,54.7704,821600,0.0000,1.0000
2019-10-04,55.1200,55.5100,54.9700,55.49,54.9287,1128500,0.0000,1.0000
2019-10-03,55.0300,55.2100,54.0900,54.92,54.3645,2733000,0.0000,1.0000
2019-10-02,56.3600,56.4400,54.6000,55.05,54.4932,3380000,0.0000,1.0000
2019-10-01,57.8100,58.0900,56.7300,56.88,56.3047,4303000,0.0000,1.0000
2019-09-30,57.9800,58.5100,57.9800,58.26,57.6707,2216000,0.0000,1.0000
2019-09-27,57.6500,58.0500,57.6000,57.89,57.3045,1006300,0.0000,1.0000
2019-09-26,56.8300,57.4700,56.8200,57.38,56.7996,1178500,0.0000,1.0000
2019-09-25,57.3200,57.4300,56.9300,57.32,56.7402,918900,0.0000,1.0000
2019-09-24,57.6900,58.0200,57.3300,57.45,56.8689,1079500,0.0000,1.0000
2019-09-23,57.4100,57.6900,57.3500,57.68,57.0966,604800,0.0000,1.0000
2019-09-20,57.5500,58.0000,57.4600,57.68,57.0966,933900,0.0000,1.0000
2019-09-19,57.2800,57.8900,57.2800,57.55,56.9679,812500,0.0000,1.0000
2019-09-18,57.0000,57.4000,56.9100,57.23,56.6511,871200,0.0000,1.0000
2019-09-17,56.6300,57.3000,56.5200,57.15,56.5719,1604800,0.0000,1.0000
2019-09-16,56.5200,56.8600,56.3700,56.82,56.2453,1369200,0.0000,1.0000
2019-09-13,56.2700,56.8500,56.2700,56.7,56.1265,1845700,0.0000,1.0000
2019-09-12,56.1400,56.7600,55.9100,56.54,55.9681,2101900,0.0000,1.0000
2019-09-11,56.1100,56.4900,55.5300,56.34,55.7701,2615800,0.0000,1.0000
2019-09-10,55.5500,56.2900,55.5500,56.25,55.6810,1175600,0.0000,1.0000
2019-09-09,55.7000,55.7500,55.3800,55.59,55.0277,970600,0.0000,1.0000
2019-09-06,54.9700,55.4800,54.7900,55.29,54.7308,952700,0.0000,1.0000
2019-09-05,54.6300,55.1300,54.4700,54.69,54.1368,1074800,0.0000,1.0000
2019-09-04,54.0700,54.2800,53.9000,54.19,53.6419,1134200,0.0000,1.0000
2019-09-03,53.8200,53.8800,53.4400,53.67,53.1271,1174700,0.0000,1.0000
2019-08-30,54.1400,54.2700,53.6400,54.19,53.6419,1261600,0.0000,1.0000
2019-08-29,53.9900,54.3700,53.7100,54.1,53.5528,1569700,0.0000,1.0000
2019-08-28,53.7700,54.1100,53.5500,53.84,53.2954,1415600,0.0000,1.0000
2019-08-27,54.5000,54.5200,53.7200,53.96,53.4142,1076400,0.0000,1.0000
2019-08-26,54.0000,54.3500,53.9800,54.23,53.6815,883800,0.0000,1.0000
2019-08-23,54.3200,54.8200,53.6700,53.84,53.2954,1158400,0.0000,1.0000
2019-08-22,54.5200,54.8600,54.5000,54.59,54.0378,970100,0.0000,1.0000
2019-08-21,54.6200,54.7500,54.4100,54.51,53.9586,1033600,0.0000,1.0000
2019-08-20,54.6400,54.6700,54.1200,54.14,53.5924,1185200,0.0000,1.0000
2019-08-19,55.2100,55.2100,54.8300,54.86,54.3051,899100,0.0000,1.0000
